country,iso3,who_region,month_start,month_lab,cases,deaths
Bolivia (Plurinational State of),BOL,AMRO,01-03-24,mars-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-04-24,Apr 2024,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-05-24,May 2024,0,0
Bosnia and Herzegovina,BIH,EURO,01-07-22,Jul 2022,1,0
Bosnia and Herzegovina,BIH,EURO,01-08-22,Aug 2022,2,0
Bosnia and Herzegovina,BIH,EURO,01-09-22,sept-22,2,0
Bosnia and Herzegovina,BIH,EURO,01-10-22,oct-22,4,0
Bosnia and Herzegovina,BIH,EURO,01-11-22,nov-22,0,0
Bosnia and Herzegovina,BIH,EURO,01-12-22,Dec 2022,0,0
Bosnia and Herzegovina,BIH,EURO,01-01-23,janv-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-02-23,Feb 2023,0,0
Bosnia and Herzegovina,BIH,EURO,01-03-23,mars-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-04-23,Apr 2023,0,0
Bosnia and Herzegovina,BIH,EURO,01-05-23,May 2023,0,0
Bosnia and Herzegovina,BIH,EURO,01-06-23,Jun 2023,0,0
Bosnia and Herzegovina,BIH,EURO,01-07-23,Jul 2023,0,0
Bosnia and Herzegovina,BIH,EURO,01-08-23,Aug 2023,0,0
Bosnia and Herzegovina,BIH,EURO,01-09-23,sept-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-10-23,oct-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-11-23,nov-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-12-23,Dec 2023,0,0
Bosnia and Herzegovina,BIH,EURO,01-01-24,janv-24,0,0
Bosnia and Herzegovina,BIH,EURO,01-02-24,Feb 2024,0,0
Bosnia and Herzegovina,BIH,EURO,01-03-24,mars-24,0,0
Bosnia and Herzegovina,BIH,EURO,01-04-24,Apr 2024,0,0
Bosnia and Herzegovina,BIH,EURO,01-05-24,May 2024,0,0
Brazil,BRA,AMRO,01-06-22,Jun 2022,63,0
Brazil,BRA,AMRO,01-07-22,Jul 2022,915,0
Brazil,BRA,AMRO,01-08-22,Aug 2022,4219,2
Brazil,BRA,AMRO,01-09-22,sept-22,2672,0
Brazil,BRA,AMRO,01-10-22,oct-22,1314,6
Brazil,BRA,AMRO,01-11-22,nov-22,917,6
Brazil,BRA,AMRO,01-12-22,Dec 2022,411,0
Brazil,BRA,AMRO,01-01-23,janv-23,247,1
Brazil,BRA,AMRO,01-02-23,Feb 2023,104,0
Brazil,BRA,AMRO,01-03-23,mars-23,28,0
Brazil,BRA,AMRO,01-04-23,Apr 2023,25,1
Brazil,BRA,AMRO,01-05-23,May 2023,33,0
Brazil,BRA,AMRO,01-06-23,Jun 2023,13,0
Brazil,BRA,AMRO,01-07-23,Jul 2023,6,0
Brazil,BRA,AMRO,01-08-23,Aug 2023,0,0
Brazil,BRA,AMRO,01-09-23,sept-23,0,0
Brazil,BRA,AMRO,01-10-23,oct-23,0,0
Brazil,BRA,AMRO,01-11-23,nov-23,54,0
Brazil,BRA,AMRO,01-12-23,Dec 2023,85,0
Brazil,BRA,AMRO,01-01-24,janv-24,106,0
Brazil,BRA,AMRO,01-02-24,Feb 2024,0,0
Brazil,BRA,AMRO,01-03-24,mars-24,0,0
Brazil,BRA,AMRO,01-04-24,Apr 2024,0,0
Brazil,BRA,AMRO,01-05-24,May 2024,0,0
Bulgaria,BGR,EURO,01-06-22,Jun 2022,3,0
Bulgaria,BGR,EURO,01-07-22,Jul 2022,1,0
Bulgaria,BGR,EURO,01-08-22,Aug 2022,0,0
Bulgaria,BGR,EURO,01-09-22,sept-22,2,0
Bulgaria,BGR,EURO,01-10-22,oct-22,0,0
Bulgaria,BGR,EURO,01-11-22,nov-22,0,0
Bulgaria,BGR,EURO,01-12-22,Dec 2022,0,0
Bulgaria,BGR,EURO,01-01-23,janv-23,0,0
Bulgaria,BGR,EURO,01-02-23,Feb 2023,0,0
Bulgaria,BGR,EURO,01-03-23,mars-23,0,0
Bulgaria,BGR,EURO,01-04-23,Apr 2023,0,0
Bulgaria,BGR,EURO,01-05-23,May 2023,0,0
Bulgaria,BGR,EURO,01-06-23,Jun 2023,0,0
Bulgaria,BGR,EURO,01-07-23,Jul 2023,0,0
Bulgaria,BGR,EURO,01-08-23,Aug 2023,0,0
Bulgaria,BGR,EURO,01-09-23,sept-23,0,0
Bulgaria,BGR,EURO,01-10-23,oct-23,0,0
Bulgaria,BGR,EURO,01-11-23,nov-23,0,0
Bulgaria,BGR,EURO,01-12-23,Dec 2023,0,0
Bulgaria,BGR,EURO,01-01-24,janv-24,0,0
Bulgaria,BGR,EURO,01-02-24,Feb 2024,0,0
Bulgaria,BGR,EURO,01-03-24,mars-24,0,0
Bulgaria,BGR,EURO,01-04-24,Apr 2024,0,0
Bulgaria,BGR,EURO,01-05-24,May 2024,1,0
Cambodia,KHM,WPRO,01-12-23,Dec 2023,1,0
Cambodia,KHM,WPRO,01-01-24,janv-24,2,0
Cambodia,KHM,WPRO,01-02-24,Feb 2024,10,0
Cameroon,CMR,AFRO,01-03-22,mars-22,3,1
Cameroon,CMR,AFRO,01-04-22,Apr 2022,1,0
Cameroon,CMR,AFRO,01-05-22,May 2022,0,0
Cameroon,CMR,AFRO,01-06-22,Jun 2022,2,0
Cameroon,CMR,AFRO,01-07-22,Jul 2022,2,0
Cameroon,CMR,AFRO,01-08-22,Aug 2022,0,2
Cameroon,CMR,AFRO,01-09-22,sept-22,2,0
Cameroon,CMR,AFRO,01-10-22,oct-22,6,0
Cameroon,CMR,AFRO,01-11-22,nov-22,2,0
Cameroon,CMR,AFRO,01-12-22,Dec 2022,0,0
Cameroon,CMR,AFRO,01-01-23,janv-23,0,0
Cameroon,CMR,AFRO,01-02-23,Feb 2023,0,0
Cameroon,CMR,AFRO,01-03-23,mars-23,0,0
Cameroon,CMR,AFRO,01-04-23,Apr 2023,0,0
Cameroon,CMR,AFRO,01-05-23,May 2023,13,0
Cameroon,CMR,AFRO,01-06-23,Jun 2023,10,0
Cameroon,CMR,AFRO,01-07-23,Jul 2023,2,0
Cameroon,CMR,AFRO,01-08-23,Aug 2023,0,0
Cameroon,CMR,AFRO,01-09-23,sept-23,1,0
Cameroon,CMR,AFRO,01-10-23,oct-23,1,0
Cameroon,CMR,AFRO,01-11-23,nov-23,0,0
Cameroon,CMR,AFRO,01-12-23,Dec 2023,0,0
Cameroon,CMR,AFRO,01-01-24,janv-24,2,1
Cameroon,CMR,AFRO,01-02-24,Feb 2024,0,0
Cameroon,CMR,AFRO,01-03-24,mars-24,4,0
Cameroon,CMR,AFRO,01-04-24,Apr 2024,3,1
Cameroon,CMR,AFRO,01-05-24,May 2024,0,0
Canada,CAN,AMRO,01-04-22,Apr 2022,2,0
Canada,CAN,AMRO,01-05-22,May 2022,149,0
Canada,CAN,AMRO,01-06-22,Jun 2022,365,0
Canada,CAN,AMRO,01-07-22,Jul 2022,470,0
Canada,CAN,AMRO,01-08-22,Aug 2022,325,0
Canada,CAN,AMRO,01-09-22,sept-22,61,0
Canada,CAN,AMRO,01-10-22,oct-22,15,0
Canada,CAN,AMRO,01-11-22,nov-22,10,0
Canada,CAN,AMRO,01-12-22,Dec 2022,4,0
Canada,CAN,AMRO,01-01-23,janv-23,7,0
Canada,CAN,AMRO,01-02-23,Feb 2023,11,0
Canada,CAN,AMRO,01-03-23,mars-23,5,0
Canada,CAN,AMRO,01-04-23,Apr 2023,7,0
Canada,CAN,AMRO,01-05-23,May 2023,9,0
Canada,CAN,AMRO,01-06-23,Jun 2023,4,0
Canada,CAN,AMRO,01-07-23,Jul 2023,3,0
Canada,CAN,AMRO,01-08-23,Aug 2023,4,0
Canada,CAN,AMRO,01-09-23,sept-23,6,0
Canada,CAN,AMRO,01-10-23,oct-23,3,0
Canada,CAN,AMRO,01-11-23,nov-23,7,0
Canada,CAN,AMRO,01-12-23,Dec 2023,3,0
Canada,CAN,AMRO,01-01-24,janv-24,8,0
Canada,CAN,AMRO,01-02-24,Feb 2024,23,0
Canada,CAN,AMRO,01-03-24,mars-24,11,0
Canada,CAN,AMRO,01-04-24,Apr 2024,13,0
Canada,CAN,AMRO,01-05-24,May 2024,7,0
Central African Republic,CAF,AFRO,01-01-22,janv-22,1,0
Central African Republic,CAF,AFRO,01-02-22,Feb 2022,2,0
Central African Republic,CAF,AFRO,01-03-22,mars-22,1,0
Central African Republic,CAF,AFRO,01-04-22,Apr 2022,0,0
Central African Republic,CAF,AFRO,01-05-22,May 2022,0,0
Central African Republic,CAF,AFRO,01-06-22,Jun 2022,0,0
Central African Republic,CAF,AFRO,01-07-22,Jul 2022,3,0
Central African Republic,CAF,AFRO,01-08-22,Aug 2022,1,0
Central African Republic,CAF,AFRO,01-09-22,sept-22,2,0
Central African Republic,CAF,AFRO,01-10-22,oct-22,3,0
Central African Republic,CAF,AFRO,01-11-22,nov-22,0,0
Central African Republic,CAF,AFRO,01-12-22,Dec 2022,3,0
Central African Republic,CAF,AFRO,01-01-23,janv-23,6,0
Central African Republic,CAF,AFRO,01-02-23,Feb 2023,4,1
Central African Republic,CAF,AFRO,01-03-23,mars-23,4,0
Central African Republic,CAF,AFRO,01-04-23,Apr 2023,0,0
Central African Republic,CAF,AFRO,01-05-23,May 2023,0,0
Central African Republic,CAF,AFRO,01-06-23,Jun 2023,0,0
Central African Republic,CAF,AFRO,01-07-23,Jul 2023,0,0
Central African Republic,CAF,AFRO,01-08-23,Aug 2023,0,0
Central African Republic,CAF,AFRO,01-09-23,sept-23,0,0
Central African Republic,CAF,AFRO,01-10-23,oct-23,0,0
Central African Republic,CAF,AFRO,01-11-23,nov-23,0,0
Central African Republic,CAF,AFRO,01-12-23,Dec 2023,3,0
Central African Republic,CAF,AFRO,01-01-24,janv-24,5,0
Central African Republic,CAF,AFRO,01-02-24,Feb 2024,7,0
Central African Republic,CAF,AFRO,01-03-24,mars-24,6,0
Central African Republic,CAF,AFRO,01-04-24,Apr 2024,1,0
Central African Republic,CAF,AFRO,01-05-24,May 2024,0,0
Chile,CHL,AMRO,01-06-22,Jun 2022,6,0
Chile,CHL,AMRO,01-07-22,Jul 2022,49,0
Chile,CHL,AMRO,01-08-22,Aug 2022,326,0
Chile,CHL,AMRO,01-09-22,sept-22,499,0
Chile,CHL,AMRO,01-10-22,oct-22,269,0
Chile,CHL,AMRO,01-11-22,nov-22,163,2
