COUNTRY_AREA_TERRITORY,iso3,WHOREGION,month_start,cases,deaths
Central African Republic,CAF,AFRO,01-09-23,0,0
Central African Republic,CAF,AFRO,01-10-23,0,0
Central African Republic,CAF,AFRO,01-11-23,0,0
Central African Republic,CAF,AFRO,01-12-23,3,0
Central African Republic,CAF,AFRO,01-01-24,5,0
Central African Republic,CAF,AFRO,01-02-24,7,0
Central African Republic,CAF,AFRO,01-03-24,6,0
Central African Republic,CAF,AFRO,01-04-24,1,0
Central African Republic,CAF,AFRO,01-05-24,0,0
Chile,CHL,AMRO,01-06-22,6,0
Chile,CHL,AMRO,01-07-22,49,0
Chile,CHL,AMRO,01-08-22,326,0
Chile,CHL,AMRO,01-09-22,499,0
Chile,CHL,AMRO,01-10-22,269,0
Chile,CHL,AMRO,01-11-22,163,2
Chile,CHL,AMRO,01-12-22,65,0
Chile,CHL,AMRO,01-01-23,40,0
Chile,CHL,AMRO,01-02-23,15,0
Chile,CHL,AMRO,01-03-23,7,0
Chile,CHL,AMRO,01-04-23,1,0
Chile,CHL,AMRO,01-05-23,1,0
Chile,CHL,AMRO,01-06-23,0,0
Chile,CHL,AMRO,01-07-23,1,1
Chile,CHL,AMRO,01-08-23,0,0
Chile,CHL,AMRO,01-09-23,0,0
Chile,CHL,AMRO,01-10-23,3,0
Chile,CHL,AMRO,01-11-23,2,0
Chile,CHL,AMRO,01-12-23,2,0
Chile,CHL,AMRO,01-01-24,0,0
Chile,CHL,AMRO,01-02-24,0,0
Chile,CHL,AMRO,01-03-24,0,0
Chile,CHL,AMRO,01-04-24,0,0
Chile,CHL,AMRO,01-05-24,0,0
China,CHN,WPRO,01-06-22,1,0
China,CHN,WPRO,01-07-22,1,0
China,CHN,WPRO,01-08-22,1,0
China,CHN,WPRO,01-09-22,2,0
China,CHN,WPRO,01-10-22,1,0
China,CHN,WPRO,01-02-23,2,0
China,CHN,WPRO,01-03-23,16,0
China,CHN,WPRO,01-04-23,31,0
China,CHN,WPRO,01-05-23,81,0
